Code RNCP,uuid,Nom la certification,Description de la certification,Type de diplôme,uuid (from Type de diplôme),Niveau de diplôme,Conventions collectives,uuid (from Conventions collectives),Domaines,uuid (from Domaines),date,Last Modified,Created By,Last Modified By
34690,ac5e879b-c2d1-4039-85c0-5f3aed15251d,Titre à finalité professionnelle Assistant de vie dépendance - ADVD,,Titre à Finalité Professionnelle,79864782-df4e-4310-9f51-c0ac0f7d0175,3,Particuliers employeurs et emploi à domicile,d144e1b9-25e9-43b6-881e-af1d22f44e99,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,10/5/2023 09:32,18/5/2023 11:34am,Aurélie Favart,Vincent Tournebise
34691,9140e7fb-b4a9-4969-973d-220d3cc1b6b0,Titre à finalité professionnelle Assistant maternel / garde d'enfants - AM/GE,,Titre à Finalité Professionnelle,79864782-df4e-4310-9f51-c0ac0f7d0175,3,Particuliers employeurs et emploi à domicile,d144e1b9-25e9-43b6-881e-af1d22f44e99,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,10/5/2023 09:32,18/5/2023 11:34am,Aurélie Favart,Vincent Tournebise
32208,51eef7ae-80c0-481b-946f-9d6e1b9fc70c,Bac Professionnel  Métiers du commerce et de la vente - Option A : Animation et gestion de l'espace commercial - MCV,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métiers Transverses,f69101d2-2824-4093-9ac0-8f8631e5010a,10/5/2023 09:32,15/5/2023 2:33pm,Aurélie Favart,Aurélie Favart
37231,67f66271-9d6d-4ecf-b616-4a6fcc40780f,Bac Professionnel Accompagnement soins et services à la personne - ASSP,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,10/5/2023 09:32,12/5/2023 1:43pm,Aurélie Favart,Vincent Tournebise
17477,2f1c2d5f-8b24-471b-8824-b7f5cb4f7bb8,Bac Professionnel Aéronautique option structures,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,2/5/2023 17:59,12/5/2023 1:43pm,Aurélie Favart,Vincent Tournebise
7067,2174d3db-e498-43cf-84a6-f882e66ef9b1,Bac Professionnel Boucher charcutier traiteur,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Grande distribution,24a5eeaa-82af-46f6-ad03-b5a6c5babf14,19/4/2023 11:23,12/5/2023 1:43pm,Cédric Soulas,Vincent Tournebise
7068,93f3d1c4-9646-46d6-adcc-16234d5d3186,Bac Professionnel Boulanger pâtissier,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Grande distribution,24a5eeaa-82af-46f6-ad03-b5a6c5babf14,19/4/2023 11:23,12/5/2023 1:43pm,Cédric Soulas,Vincent Tournebise
14963,1b7003d6-f4d1-4d81-b288-0824880ca298,Bac Professionnel Construction des carrosseries - CC,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,2/5/2023 17:59,12/5/2023 1:43pm,Aurélie Favart,Vincent Tournebise
6726,5ef560b4-bf84-44d0-bc17-1e7e9d79e14e,Bac Professionnel Fonderie,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,2/5/2023 17:59,12/5/2023 1:43pm,Aurélie Favart,Vincent Tournebise
1120,d2f1edf2-a478-4566-91c0-26dda560ff1c,Bac Professionnel Logistique,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métiers Transverses,f69101d2-2824-4093-9ac0-8f8631e5010a,10/5/2023 09:32,12/5/2023 1:43pm,Aurélie Favart,Vincent Tournebise
35698,517e81ee-2850-47d8-aa1b-dd216b492077,Bac Professionnel Maintenance des systèmes de production connectés - MSPC,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,2/5/2023 17:59,12/5/2023 1:43pm,Aurélie Favart,Vincent Tournebise
25353,52f481d4-e025-419b-aa6d-70fd7d1079de,Bac Professionnel Métiers de l'électricité et de ses environnements connectés - MELEC ,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,24/4/2023 15:36,12/5/2023 1:43pm,Cédric Soulas,Vincent Tournebise
36191,602be48e-f586-4a88-8de5-39984f8506d5,Bac Professionnel Modélisation et prototypage 3D - MP3D,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,2/5/2023 17:59,12/5/2023 1:44pm,Aurélie Favart,Vincent Tournebise
4432,de7ab0b1-e9d1-4ec0-b24e-5d78aaa4ef66,Bac Professionnel Ouvrages du bâtiment option métallerie -OBM,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,2/5/2023 17:05,12/5/2023 1:44pm,Cédric Soulas,Vincent Tournebise
